Date,High,Low,Open,Close,Volume,Adj Close,50ma,100ma,200ma,Symbol
2019-01-03,309.3999938964844,297.3800048828125,307.0,300.3599853515625,6965200,300.3599853515625,300.36,300.36,300.36,TSLA
2019-01-04,318.0,302.7300109863281,306.0,317.69000244140625,7394100,317.69000244140625,309.02,309.02,309.02,TSLA
2019-01-07,336.739990234375,317.75,321.7200012207031,334.9599914550781,7551200,334.9599914550781,317.67,317.67,317.67,TSLA
2019-01-08,344.010009765625,327.0199890136719,341.9599914550781,335.3500061035156,7008500,335.3500061035156,322.09,322.09,322.09,TSLA
2019-01-09,343.5,331.4700012207031,335.5,338.5299987792969,5432900,338.5299987792969,325.38,325.38,325.38,TSLA
2019-01-10,345.3900146484375,331.7900085449219,334.3999938964844,344.9700012207031,6056400,344.9700012207031,328.64,328.64,328.64,TSLA
2019-01-11,348.4100036621094,338.7699890136719,342.0899963378906,347.260009765625,5039100,347.260009765625,331.3,331.3,331.3,TSLA
2019-01-14,342.5,334.0,342.3800048828125,334.3999938964844,5247300,334.3999938964844,331.69,331.69,331.69,TSLA
2019-01-15,348.79998779296875,334.5,335.0,344.42999267578125,6056600,344.42999267578125,333.11,333.11,333.11,TSLA
2019-01-16,352.0,343.5,344.7799987792969,346.04998779296875,4691700,346.04998779296875,334.4,334.4,334.4,TSLA
2019-01-17,351.5,344.1499938964844,346.2099914550781,347.30999755859375,3676700,347.30999755859375,335.57,335.57,335.57,TSLA
2019-01-18,327.1300048828125,299.7300109863281,323.0,302.260009765625,24150800,302.260009765625,332.8,332.8,332.8,TSLA
2019-01-22,308.0,295.5,304.82000732421875,298.9200134277344,12066700,298.9200134277344,330.19,330.19,330.19,TSLA
2019-01-23,294.5,281.69000244140625,292.5,287.5899963378906,12530000,287.5899963378906,327.15,327.15,327.15,TSLA
2019-01-24,293.67999267578125,279.2799987792969,283.0299987792969,291.510009765625,8012200,291.510009765625,324.77,324.77,324.77,TSLA
2019-01-25,298.5199890136719,289.54998779296875,294.3900146484375,297.0400085449219,7249600,297.0400085449219,323.04,323.04,323.04,TSLA
2019-01-28,297.4599914550781,287.75,292.9100036621094,296.3800048828125,6423300,296.3800048828125,321.47,321.47,321.47,TSLA
2019-01-29,298.55999755859375,291.79998779296875,295.2699890136719,297.4599914550781,4621700,297.4599914550781,320.14,320.14,320.14,TSLA
2019-01-30,309.0,298.489990234375,300.45001220703125,308.7699890136719,11250300,308.7699890136719,319.54,319.54,319.54,TSLA
2019-01-31,311.55999755859375,294.0,301.0,307.0199890136719,12569200,307.0199890136719,318.91,318.91,318.91,TSLA
2019-02-01,316.1000061035156,303.5,305.4200134277344,312.2099914550781,7283400,312.2099914550781,318.59,318.59,318.59,TSLA
2019-02-04,315.29998779296875,301.8800048828125,312.9800109863281,312.8900146484375,7352100,312.8900146484375,318.33,318.33,318.33,TSLA
2019-02-05,322.44000244140625,312.25,312.489990234375,321.3500061035156,6742800,321.3500061035156,318.47,318.47,318.47,TSLA
2019-02-06,324.239990234375,315.6199951171875,319.5899963378906,317.2200012207031,5038500,317.2200012207031,318.41,318.41,318.41,TSLA
2019-02-07,314.70001220703125,303.0,313.29998779296875,307.510009765625,6520600,307.510009765625,317.98,317.98,317.98,TSLA
2019-02-08,307.45001220703125,298.5,306.8299865722656,305.79998779296875,5844200,305.79998779296875,317.51,317.51,317.51,TSLA
2019-02-11,318.6000061035156,310.5,311.6000061035156,312.8399963378906,7129700,312.8399963378906,317.34,317.34,317.34,TSLA
2019-02-12,318.19000244140625,309.6199951171875,316.20001220703125,311.80999755859375,5517600,311.80999755859375,317.14,317.14,317.14,TSLA
2019-02-13,312.75,305.57000732421875,312.3500061035156,308.1700134277344,5141600,308.1700134277344,316.83,316.83,316.83,TSLA
2019-02-14,306.7699890136719,301.0,303.3800048828125,303.7699890136719,5200800,303.7699890136719,316.39,316.39,316.39,TSLA
2019-02-15,308.0,303.8999938964844,304.5,307.8800048828125,3904900,307.8800048828125,316.12,316.12,316.12,TSLA
2019-02-19,311.5400085449219,305.4700012207031,306.55999755859375,305.6400146484375,4168400,305.6400146484375,315.79,315.79,315.79,TSLA
2019-02-20,306.29998779296875,299.0,304.4100036621094,302.55999755859375,7142100,302.55999755859375,315.39,315.39,315.39,TSLA
2019-02-21,303.239990234375,290.5,301.80999755859375,291.2300109863281,8909200,291.2300109863281,314.68,314.68,314.68,TSLA
2019-02-22,296.5,292.1000061035156,294.489990234375,294.7099914550781,5740600,294.7099914550781,314.11,314.11,314.11,TSLA
2019-02-25,302.8999938964844,297.0,297.9100036621094,298.7699890136719,6626500,298.7699890136719,313.68,313.68,313.68,TSLA
2019-02-26,302.010009765625,288.7699890136719,292.2200012207031,297.8599853515625,8582500,297.8599853515625,313.26,313.26,313.26,TSLA
2019-02-27,316.29998779296875,300.54998779296875,301.7799987792969,314.739990234375,11183900,314.739990234375,313.3,313.3,313.3,TSLA
2019-02-28,320.0,310.80999755859375,318.9200134277344,319.8800048828125,10520700,319.8800048828125,313.46,313.46,313.46,TSLA
2019-03-01,307.1300048828125,291.8999938964844,306.94000244140625,294.7900085449219,22911400,294.7900085449219,313.0,313.0,313.0,TSLA
2019-03-04,299.0,282.7799987792969,298.1199951171875,285.3599853515625,17096800,285.3599853515625,312.32,312.32,312.32,TSLA
2019-03-05,284.0,270.1000061035156,282.0,276.5400085449219,18764700,276.5400085449219,311.47,311.47,311.47,TSLA
2019-03-06,281.510009765625,274.3900146484375,276.4800109863281,276.239990234375,10335500,276.239990234375,310.65,310.65,310.65,TSLA
2019-03-07,284.70001220703125,274.25,278.8399963378906,276.5899963378906,9442500,276.5899963378906,309.88,309.88,309.88,TSLA
2019-03-08,285.5899963378906,275.8900146484375,276.9100036621094,284.1400146484375,8819600,284.1400146484375,309.31,309.31,309.31,TSLA
2019-03-11,291.2799987792969,280.5,283.5199890136719,290.9200134277344,7392300,290.9200134277344,308.91,308.91,308.91,TSLA
2019-03-12,288.07000732421875,281.05999755859375,286.489990234375,283.3599853515625,7504100,283.3599853515625,308.36,308.36,308.36,TSLA
2019-03-13,291.989990234375,282.70001220703125,283.8999938964844,288.9599914550781,6844700,288.9599914550781,307.96,307.96,307.96,TSLA
2019-03-14,295.3900146484375,288.2900085449219,292.45001220703125,289.9599914550781,7103400,289.9599914550781,307.59,307.59,307.59,TSLA
2019-03-15,283.7200012207031,274.3999938964844,283.510009765625,275.42999267578125,14785500,275.42999267578125,306.95,306.95,306.95,TSLA
2019-03-18,278.04998779296875,267.29998779296875,276.0,269.489990234375,10281000,269.489990234375,306.33,306.21,306.21,TSLA
2019-03-19,273.29998779296875,263.4599914550781,267.5,267.4700012207031,11800600,267.4700012207031,305.33,305.47,305.47,TSLA
2019-03-20,274.9700012207031,266.29998779296875,269.69000244140625,273.6000061035156,6908200,273.6000061035156,304.1,304.87,304.87,TSLA
2019-03-21,276.45001220703125,268.45001220703125,272.6000061035156,274.0199890136719,5947100,274.0199890136719,302.87,304.3,304.3,TSLA
2019-03-22,272.79998779296875,264.0,272.5799865722656,264.5299987792969,8745600,264.5299987792969,301.39,303.57,303.57,TSLA
2019-03-25,263.17999267578125,254.4600067138672,259.7099914550781,260.4200134277344,10215000,260.4200134277344,299.7,302.8,302.8,TSLA
2019-03-26,270.260009765625,264.42999267578125,264.44000244140625,267.7699890136719,7350900,267.7699890136719,298.11,302.19,302.19,TSLA
2019-03-27,275.3699951171875,268.17999267578125,268.75,274.8299865722656,8779200,274.8299865722656,296.92,301.72,301.72,TSLA
2019-03-28,280.3299865722656,275.1000061035156,277.1600036621094,278.6199951171875,6774100,278.6199951171875,295.6,301.32,301.32,TSLA
2019-03-29,280.1600036621094,274.5,278.70001220703125,279.8599853515625,5991300,279.8599853515625,294.28,300.97,300.97,TSLA
2019-04-01,289.20001220703125,281.2799987792969,282.6199951171875,289.17999267578125,8110400,289.17999267578125,293.12,300.77,300.77,TSLA
2019-04-02,289.44000244140625,283.8800048828125,288.29998779296875,285.8800048828125,5478900,285.8800048828125,292.79,300.53,300.53,TSLA
2019-04-03,296.1700134277344,287.1700134277344,287.32000732421875,291.80999755859375,7929900,291.80999755859375,292.65,300.39,300.39,TSLA
2019-04-04,271.20001220703125,260.5899963378906,261.8900146484375,267.7799987792969,23720700,267.7799987792969,292.25,299.89,299.89,TSLA
2019-04-05,276.1000061035156,266.1099853515625,269.8599853515625,274.9599914550781,13038300,274.9599914550781,291.92,299.5,299.5,TSLA
2019-04-08,281.1600036621094,270.44000244140625,277.69000244140625,273.20001220703125,10410400,273.20001220703125,291.44,299.1,299.1,TSLA
2019-04-09,275.0,269.6099853515625,271.6499938964844,272.30999755859375,5904000,272.30999755859375,290.96,298.7,298.7,TSLA
2019-04-10,278.3800048828125,272.8900146484375,276.739990234375,276.05999755859375,7061300,276.05999755859375,290.53,298.37,298.37,TSLA
2019-04-11,270.5,265.6000061035156,268.29998779296875,268.4200134277344,9835900,268.4200134277344,289.73,297.94,297.94,TSLA
2019-04-12,271.95001220703125,266.8299865722656,270.2200012207031,267.70001220703125,6746000,267.70001220703125,288.94,297.5,297.5,TSLA
2019-04-15,268.8800048828125,258.6300048828125,268.6300048828125,266.3800048828125,10038600,266.3800048828125,288.02,297.07,297.07,TSLA
2019-04-16,275.0,264.7200012207031,265.75,273.3599853515625,7272900,273.3599853515625,287.23,296.74,296.74,TSLA
2019-04-17,274.7900085449219,268.5400085449219,274.75,271.2300109863281,5126500,271.2300109863281,286.23,296.39,296.39,TSLA
2019-04-18,274.8399963378906,269.75,271.2300109863281,273.260009765625,5876300,273.260009765625,285.35,296.07,296.07,TSLA
2019-04-22,269.67999267578125,262.4800109863281,269.0,262.75,12147100,262.75,284.46,295.63,295.63,TSLA
2019-04-23,265.6000061035156,255.75,260.1499938964844,263.8999938964844,10943900,263.8999938964844,283.62,295.21,295.21,TSLA
2019-04-24,265.32000732421875,258.0,263.8500061035156,258.6600036621094,10727500,258.6600036621094,282.54,294.74,294.74,TSLA
2019-04-25,259.0,246.07000732421875,255.0,247.6300048828125,21849400,247.6300048828125,281.25,294.13,294.13,TSLA
2019-04-26,246.67999267578125,231.1300048828125,246.5,235.13999938964844,22360700,235.13999938964844,279.79,293.39,293.39,TSLA
2019-04-29,243.97999572753906,232.1699981689453,235.86000061035156,241.47000122070312,16714500,241.47000122070312,278.54,292.74,292.74,TSLA
2019-04-30,244.2100067138672,237.0,242.05999755859375,238.69000244140625,9464600,238.69000244140625,277.16,292.07,292.07,TSLA
2019-05-01,240.0,231.5,238.85000610351562,234.00999450683594,10704400,234.00999450683594,275.73,291.36,291.36,TSLA
2019-05-02,247.1300048828125,237.72000122070312,245.52000427246094,244.10000610351562,18159300,244.10000610351562,274.56,290.79,290.79,TSLA
2019-05-03,256.6099853515625,243.49000549316406,243.86000061035156,255.02999877929688,23706800,255.02999877929688,273.84,290.37,290.37,TSLA
2019-05-06,258.3500061035156,248.5,250.02000427246094,255.33999633789062,10833900,255.33999633789062,273.05,289.96,289.96,TSLA
2019-05-07,257.2099914550781,245.10000610351562,256.79998779296875,247.05999755859375,10131400,247.05999755859375,272.01,289.46,289.46,TSLA
2019-05-08,250.60000610351562,244.1999969482422,246.94000244140625,244.83999633789062,6176400,244.83999633789062,270.95,288.94,288.94,TSLA
2019-05-09,243.67999267578125,236.94000244140625,242.0,241.97999572753906,6711400,241.97999572753906,269.5,288.41,288.41,TSLA
2019-05-10,241.99000549316406,236.02000427246094,239.75,239.52000427246094,7008300,239.52000427246094,267.89,287.86,287.86,TSLA
2019-05-13,232.47000122070312,224.5,232.00999450683594,227.00999450683594,10834800,227.00999450683594,266.54,287.19,287.19,TSLA
2019-05-14,234.5,228.0,229.3000030517578,232.30999755859375,7252400,232.30999755859375,265.47,286.58,286.58,TSLA
2019-05-15,232.44000244140625,225.25,229.32000732421875,231.9499969482422,7296000,231.9499969482422,264.58,285.99,285.99,TSLA
2019-05-16,231.0,226.5,229.49000549316406,228.3300018310547,7483300,228.3300018310547,263.62,285.37,285.37,TSLA
